Customer_ID,Age,Monthly_Income,Average_Visits,Items_Shopped,Shopping_Amount,Customer_Type
179,19,28007,2,40,21827,Returning
180,59,146730,4,2,6313,Non-Repeating
181,62,61832,7,13,11351,Non-Repeating
182,23,78596,3,32,14565,Non-Repeating
183,45,141101,13,31,9510,Non-Repeating
184,45,50523,12,16,5029,Non-Repeating
185,61,108861,5,32,16849,Returning
186,61,144194,8,32,20738,Returning
187,37,106740,12,34,20990,Non-Repeating
188,47,35524,10,11,2216,Returning
189,28,149028,3,10,3835,Returning
190,45,39282,4,15,8212,Returning
191,42,43930,14,17,7388,Non-Repeating
192,56,20077,9,40,7650,Returning
193,50,125881,14,18,16608,Non-Repeating
194,18,145501,14,9,7428,Returning
195,44,40611,7,25,6017,Returning
196,69,36984,1,40,6680,Returning
197,30,34060,14,14,3869,Returning
198,58,102985,12,25,17859,Non-Repeating
199,20,104056,4,22,10980,Non-Repeating
200,56,145329,4,30,29715,Non-Repeating
201,23,63303,9,20,9007,Returning
202,25,79207,6,21,11131,Returning
203,44,95046,9,44,17547,Non-Repeating
204,26,49287,12,32,17519,Non-Repeating
205,54,113709,6,46,4862,Returning
206,50,59711,6,49,10504,Returning
207,68,31954,5,21,11952,Returning
208,59,93340,5,35,23125,Non-Repeating
209,61,92101,2,32,14278,Returning
210,41,91520,8,30,7224,Returning
211,32,107062,8,39,11281,Returning
212,49,122974,11,49,9651,Non-Repeating
213,49,38574,13,12,4544,Returning
214,41,29184,1,41,15039,Returning
215,58,39096,8,47,25247,Returning
216,69,87728,5,18,13887,Returning
217,66,54016,2,21,6954,Returning
218,66,31246,14,13,8192,Non-Repeating
219,69,65558,2,21,8120,Non-Repeating
220,29,138721,14,8,15012,Non-Repeating
221,56,38381,6,46,11483,Non-Repeating
222,19,147796,11,40,28168,Returning
223,20,56455,13,46,18903,Non-Repeating
224,66,112263,9,7,6854,Returning
225,54,24018,1,23,2294,Non-Repeating
226,66,31302,12,44,6388,Non-Repeating
227,34,87506,6,32,17773,Returning
228,66,61157,9,11,9947,Returning
229,19,74917,8,22,17445,Returning
230,19,112738,11,22,16687,Returning
231,45,116646,6,43,11973,Returning
232,40,103122,3,25,16786,Non-Repeating
233,54,44519,8,22,10287,Non-Repeating
234,49,116809,9,28,14277,Returning
235,50,107487,1,29,13130,Returning
236,18,76819,12,13,5754,Returning
237,36,100910,9,18,10573,Non-Repeating
238,19,140430,14,2,4780,Returning
239,61,91324,6,29,16348,Returning
240,43,25408,6,21,9434,Returning
241,49,79379,12,15,10220,Returning
242,23,45053,4,27,12665,Returning
243,49,29446,1,31,10615,Non-Repeating
244,21,20922,10,15,3803,Returning
245,28,118723,8,23,13958,Non-Repeating
246,34,71356,2,24,15607,Returning
247,55,30789,12,44,11852,Non-Repeating
248,41,117720,1,13,15103,Non-Repeating
249,22,86656,2,22,18030,Returning
250,69,64028,1,43,13208,Returning
251,51,84484,1,37,21450,Returning
252,23,52154,9,33,16217,Non-Repeating
253,39,102870,13,3,8786,Returning
254,28,22336,14,19,7772,Non-Repeating
255,65,123677,1,23,22299,Returning
256,33,87779,13,29,9828,Non-Repeating
257,50,39029,4,30,11520,Non-Repeating
258,26,79201,10,39,27747,Non-Repeating
259,23,52265,6,44,18572,Returning
260,33,122916,7,47,8108,Returning
261,46,132250,2,25,10612,Non-Repeating
262,20,136553,6,37,24609,Returning
263,37,63872,7,47,28888,Returning
264,53,66197,10,8,10425,Returning
265,36,145733,14,42,14811,Returning
266,43,75180,10,16,4254,Returning
267,20,43710,2,8,5523,Returning
268,36,49486,2,1,5380,Returning
269,37,91907,10,44,20939,Non-Repeating
270,49,148876,7,5,6583,Non-Repeating
271,24,91895,12,3,3246,Non-Repeating
272,69,84435,1,1,7423,Non-Repeating
273,58,60631,8,4,8202,Returning
274,50,149038,11,40,9859,Returning
275,57,121532,13,35,21815,Returning
276,56,40103,3,32,11679,Returning
277,35,84772,11,42,28773,Non-Repeating
278,57,146108,6,34,18955,Returning
279,18,34382,9,43,6572,Returning
280,28,104291,6,25,13461,Returning
281,45,121195,9,10,14084,Returning
282,42,23756,7,21,10637,Non-Repeating
283,67,40609,9,46,16633,Returning
284,40,134074,2,39,17522,Non-Repeating
285,48,36478,12,27,12772,Returning
286,47,120978,8,27,4515,Returning
287,59,59666,8,2,6924,Non-Repeating
288,52,95683,2,41,14599,Returning
289,24,119097,12,48,13463,Non-Repeating
290,33,144714,14,13,13994,Non-Repeating
291,43,120420,4,9,14417,Non-Repeating
292,65,91315,14,36,20625,Non-Repeating
293,69,97834,11,22,13836,Returning
294,66,146205,7,42,23332,Non-Repeating
295,19,34153,11,26,14240,Returning
296,18,129415,4,12,14333,Non-Repeating
297,65,96325,4,17,15735,Non-Repeating
298,29,129701,6,14,3279,Non-Repeating
299,22,32999,10,14,3288,Non-Repeating
300,54,75318,6,34,14822,Returning
301,49,20814,10,20,2255,Non-Repeating
302,26,135033,3,11,13145,Returning
303,58,96077,9,16,12828,Non-Repeating
304,52,110474,12,31,16278,Non-Repeating
305,36,22443,10,6,2952,Returning
306,65,95993,14,19,7081,Returning
307,33,95916,11,37,10214,Returning
308,20,93319,2,4,2409,Non-Repeating
309,37,145885,6,47,17705,Returning
310,41,129777,12,4,11357,Returning
311,50,37368,7,20,4817,Returning
312,41,35328,12,10,6112,Non-Repeating
313,69,76942,13,24,14659,Returning
314,28,111751,9,35,19740,Returning
315,66,119131,13,26,15797,Returning
316,25,47306,3,37,17715,Returning
317,53,105451,10,38,26556,Returning
318,55,59915,3,21,15195,Returning
319,57,57219,7,40,22037,Returning
320,37,100879,14,39,24290,Non-Repeating
321,52,131939,4,21,5534,Non-Repeating
322,65,84644,13,10,8501,Returning
323,42,80279,8,38,19831,Non-Repeating
324,52,73028,13,46,10768,Returning
325,42,124263,7,4,6291,Returning
326,46,20126,5,45,8330,Returning
327,35,72329,7,20,12486,Returning
328,63,47632,3,17,4791,Returning
329,35,127099,12,7,9035,Returning
330,19,85310,2,4,9898,Returning
331,52,129945,6,29,12935,Non-Repeating
332,33,75176,2,14,6979,Returning
333,58,139797,3,3,6149,Returning
334,53,106066,6,24,12291,Returning
335,50,125500,5,37,30736,Returning
336,21,146413,8,16,13306,Returning
337,50,64327,9,4,2643,Returning
338,31,88904,11,24,16510,Non-Repeating
339,38,23797,3,34,14528,Returning
340,65,67882,12,30,7855,Returning
341,37,33718,10,18,4004,Non-Repeating
342,25,54560,3,19,8162,Returning
343,24,96589,3,31,13029,Returning
344,20,42116,13,19,10722,Non-Repeating
345,34,56244,13,49,25855,Returning
346,50,121721,6,46,16941,Returning
347,65,21645,1,19,5945,Returning
348,29,67523,7,22,10020,Returning
349,68,144085,12,24,18549,Returning
350,39,137718,1,45,23814,Returning
351,39,39256,14,12,8113,Returning
352,63,121376,5,30,23613,Returning
353,47,120158,10,38,13675,Non-Repeating
354,55,73173,13,31,14385,Returning
355,55,57430,8,36,6815,Returning
356,62,59282,4,19,10471,Returning
357,68,139719,5,48,27284,Non-Repeating
358,25,83374,4,45,22480,Returning
359,44,88244,12,36,25741,Non-Repeating
360,44,31694,12,30,7442,Returning
361,51,76264,14,49,24306,Returning
362,38,95060,4,33,19402,Returning
363,47,117416,12,18,11176,Returning
364,50,77545,8,49,4322,Returning
365,45,138195,2,28,22399,Returning
366,64,59224,1,47,8192,Returning
367,50,122516,3,11,19431,Returning
368,22,117945,9,45,8287,Non-Repeating
369,65,33224,4,33,8772,Non-Repeating
370,36,60738,10,17,9495,Returning
371,21,45150,5,6,5260,Returning
372,52,83731,2,4,6531,Returning
373,66,69688,4,20,14292,Non-Repeating
374,34,119929,2,48,16239,Returning
375,61,128618,2,47,23302,Non-Repeating
376,45,93509,4,27,20701,Returning
377,47,28577,6,15,8817,Returning
378,46,28070,7,6,5758,Returning
379,63,146161,10,47,10617,Non-Repeating
380,23,28666,3,14,4797,Returning
381,52,77761,3,11,14597,Returning
382,58,141178,10,39,24263,Non-Repeating
383,54,56368,6,9,8865,Returning
384,41,26783,13,26,7926,Non-Repeating
385,46,131530,12,16,12167,Returning
386,66,61914,3,5,6469,Non-Repeating
387,63,90507,13,10,14827,Returning
388,48,147738,2,3,8423,Returning
389,52,99026,8,13,13359,Non-Repeating
390,50,135893,5,43,19948,Returning
391,69,131255,1,49,13751,Returning
392,38,130616,3,30,23039,Returning
393,49,87526,10,45,19804,Returning
394,40,90835,8,6,12408,Returning
395,50,65765,4,17,11837,Returning
396,20,39956,14,45,20041,Returning
397,35,107895,7,19,8941,Returning
398,42,66240,10,42,15366,Returning
399,59,141008,12,35,21458,Returning
400,48,57148,14,46,11151,Non-Repeating
401,20,114270,14,26,11757,Non-Repeating
402,57,147978,2,5,18903,Non-Repeating
403,63,24757,7,29,12119,Returning
404,41,39097,5,37,8389,Returning
405,67,30395,5,20,10588,Returning
406,49,36241,6,49,12264,Returning
407,64,123892,13,21,10539,Returning
408,39,47696,9,10,2632,Returning
409,40,135654,14,5,9849,Returning
410,19,90480,6,36,20239,Non-Repeating
411,44,66163,12,6,8203,Returning
412,59,39816,13,26,8642,Returning
413,19,69840,14,4,8554,Returning
414,43,122547,8,39,28684,Returning
415,34,72853,7,39,8417,Non-Repeating
416,57,44917,9,35,14780,Returning
417,50,116731,4,1,8039,Returning
418,26,41566,2,24,8711,Returning
419,60,95452,7,36,24471,Returning
420,65,82823,6,6,2900,Returning
421,56,141392,1,41,23040,Non-Repeating
422,46,40806,11,46,16214,Non-Repeating
423,59,95520,9,44,17328,Non-Repeating
424,43,21759,9,31,10465,Returning
425,52,146092,12,20,18958,Non-Repeating
426,67,61949,2,24,5592,Returning
427,42,112374,3,25,18572,Returning
428,41,22482,5,36,11462,Returning
429,30,44442,5,21,7521,Returning
430,24,53719,1,30,5431,Returning
431,53,78066,8,24,9700,Non-Repeating
432,62,113501,12,44,11608,Returning
433,37,22079,8,42,4545,Returning
434,18,22717,4,30,9706,Returning
435,25,79676,13,22,5690,Non-Repeating
436,63,47952,7,28,8306,Non-Repeating
437,33,106444,11,7,8792,Non-Repeating
438,31,62460,10,35,22431,Returning
439,29,110397,3,28,21387,Returning
440,68,92847,6,14,8244,Returning
441,40,113607,14,10,13061,Returning
442,32,109106,10,16,13985,Returning
443,45,38449,13,16,7519,Returning
444,51,53536,10,31,12317,Returning
445,19,84077,12,42,21794,Non-Repeating
446,49,58258,14,25,13189,Returning
447,40,68302,9,13,12758,Returning
448,39,145937,1,6,15151,Returning
449,68,48865,5,44,20793,Non-Repeating
450,42,26645,4,9,5580,Non-Repeating
451,39,139771,8,45,22161,Non-Repeating
452,39,58000,11,36,22648,Non-Repeating
453,66,46737,12,43,16853,Returning
454,69,31485,1,20,8286,Returning
455,59,58565,9,18,10485,Returning
456,23,45522,6,43,13542,Returning
457,32,139614,4,21,16599,Returning
458,60,85155,12,4,4245,Returning
459,54,75168,9,33,20022,Non-Repeating
460,50,72487,11,27,18968,Non-Repeating
461,25,149948,5,7,6120,Non-Repeating
462,61,32342,5,6,1761,Non-Repeating
463,61,60806,12,15,5942,Non-Repeating
464,22,68770,5,18,16005,Returning
465,56,98623,1,32,6207,Returning
466,21,123177,1,11,18747,Non-Repeating
467,23,119785,8,20,9724,Non-Repeating
468,62,95629,12,24,17467,Returning
469,49,140993,8,15,22008,Non-Repeating
470,69,72603,12,48,28052,Returning
471,47,146944,6,7,13039,Returning
472,64,132726,12,21,17471,Non-Repeating
473,52,101974,11,42,26963,Returning
474,57,125947,13,26,10888,Returning
475,69,46399,4,44,20738,Returning
476,33,148177,2,14,3920,Non-Repeating
477,30,105382,14,37,20153,Returning
478,67,101244,2,21,9709,Non-Repeating
479,59,129575,9,18,13005,Returning
480,47,135520,5,5,17789,Returning
481,36,130904,4,3,7540,Non-Repeating
482,34,96534,10,23,15729,Returning
483,36,75106,13,26,12322,Non-Repeating
484,45,132599,1,37,27152,Returning
485,43,50678,7,24,9376,Non-Repeating
486,54,96218,3,49,21812,Returning
487,43,83230,6,19,15794,Returning
488,40,134684,5,25,13554,Returning
489,26,94055,5,21,15467,Returning
490,29,76373,11,12,9539,Returning
491,18,51480,5,41,11567,Returning
492,18,105230,1,33,22714,Returning
493,64,88836,1,4,4032,Returning
494,51,92258,3,42,9960,Returning
495,49,59986,14,7,4148,Non-Repeating
496,65,44160,12,22,8235,Returning
497,42,105595,10,33,24259,Returning
498,57,121358,4,17,14428,Returning
499,62,99111,5,24,15443,Non-Repeating
500,18,84929,2,34,6006,Returning
501,33,93506,8,28,13631,Non-Repeating
502,56,54911,11,43,13027,Non-Repeating
503,22,107127,11,41,17906,Non-Repeating
504,39,51821,14,39,11246,Returning
505,46,95039,2,22,18307,Returning
506,20,80535,9,49,19939,Non-Repeating
507,29,133453,2,17,16276,Returning
508,43,104458,13,34,15365,Returning
509,33,32175,9,6,4655,Returning
510,68,139235,7,46,17137,Non-Repeating
511,54,74771,8,6,3053,Returning
512,39,126660,11,34,17947,Non-Repeating
513,46,147157,2,1,6731,Returning
514,31,141300,7,10,12292,Returning
515,45,106925,12,21,5487,Returning
516,22,133374,6,5,11915,Returning
517,64,86358,4,2,4782,Non-Repeating
518,66,37327,7,22,7107,Non-Repeating
519,47,67057,14,48,26981,Non-Repeating
520,63,26150,13,2,1788,Returning
521,69,24425,4,10,4829,Non-Repeating
522,22,143654,2,34,22286,Returning
523,29,36032,10,16,7957,Returning
524,33,22198,12,48,24364,Returning
525,43,80500,7,39,21775,Returning
526,43,73394,8,22,11434,Non-Repeating
527,65,40079,2,12,6269,Non-Repeating
528,38,56220,5,24,9295,Returning
529,56,61874,1,47,23323,Non-Repeating
530,53,33859,7,40,2507,Returning
531,50,70460,8,38,6486,Returning
532,47,51419,13,10,8540,Returning
533,54,138865,6,35,20673,Returning
534,40,28705,5,49,9216,Returning
535,27,62880,6,32,12532,Returning
536,22,149838,2,7,13427,Non-Repeating
537,53,43236,1,21,7801,Non-Repeating
538,51,107955,7,20,11780,Returning
539,69,105514,7,26,14362,Non-Repeating
540,48,123145,10,4,5092,Returning
541,27,35358,11,46,23685,Returning
542,36,119713,10,22,11032,Non-Repeating
543,49,114914,14,15,8494,Returning
544,18,122870,2,40,21319,Returning
545,22,96918,2,21,6541,Returning
546,62,139179,1,15,9072,Returning
547,21,136243,10,22,14149,Non-Repeating
548,33,34596,8,28,7498,Returning
549,41,53572,8,14,8244,Returning
550,33,98757,1,27,7963,Returning
551,19,21279,12,41,11788,Non-Repeating
552,66,83197,11,40,23211,Returning
553,45,131496,8,28,19539,Non-Repeating
554,49,82516,9,26,12202,Returning
555,44,27083,14,49,11803,Returning
556,37,140674,4,2,6407,Returning
557,41,140307,1,25,11387,Returning
558,29,146457,1,3,8288,Returning
559,67,129397,3,8,17681,Returning
560,52,37771,14,44,13591,Non-Repeating
561,50,49975,5,33,14581,Returning
562,50,65648,5,42,26028,Non-Repeating
563,68,145641,9,35,26107,Returning
564,60,68285,10,6,2436,Returning
565,54,39063,14,39,19147,Returning
566,29,87642,12,23,13865,Non-Repeating
567,20,110093,2,25,22304,Returning
568,18,134390,2,43,8142,Returning
569,50,106143,6,19,13132,Returning
570,57,57599,9,5,5060,Returning
571,27,71920,1,11,6795,Returning
572,60,48529,9,12,6827,Returning
573,61,55954,9,10,6345,Returning
574,46,47856,13,8,6238,Returning
575,30,22573,9,24,9206,Non-Repeating
576,29,98344,5,28,19582,Returning
577,48,55367,13,41,9053,Returning
578,63,122337,9,36,22908,Returning
579,19,126732,11,37,25249,Returning
580,68,119608,4,21,14675,Returning
581,67,80774,2,8,3648,Returning
582,52,43752,13,9,9608,Returning
583,40,75029,6,47,9718,Returning
584,34,37685,14,15,3331,Returning
585,43,71693,4,48,20761,Returning
586,25,136739,6,46,21612,Non-Repeating
587,46,75961,3,40,15673,Returning
588,43,126937,6,18,8769,Returning
589,27,144956,2,42,5754,Returning
590,43,96908,2,20,13955,Returning
591,51,145537,13,6,8370,Returning
592,68,146678,9,12,2888,Returning
593,58,94532,7,2,2482,Non-Repeating
594,24,101994,3,7,3223,Returning
595,21,76133,13,16,5236,Returning
596,67,117425,11,3,10791,Returning
597,62,145055,1,45,22860,Returning
598,28,81268,8,3,2754,Returning
599,46,112201,14,27,13719,Non-Repeating
600,53,58243,6,43,16190,Returning
601,42,77384,7,40,15159,Non-Repeating
602,38,51653,9,38,12225,Non-Repeating
603,53,46657,5,33,13551,Non-Repeating
604,27,59952,1,28,9745,Returning
605,54,42180,12,1,2879,Returning
606,26,117432,10,8,8720,Returning
607,41,141829,7,37,28770,Returning
608,52,148377,5,32,5169,Returning
609,66,98411,3,48,25627,Non-Repeating
610,52,21622,12,43,7134,Returning
611,65,68756,13,37,16968,Returning
612,53,60809,9,4,5911,Returning
613,35,36725,1,30,10883,Returning
614,66,81396,1,6,2479,Returning
615,56,71226,1,46,15901,Non-Repeating
616,49,126296,3,19,13943,Non-Repeating
617,41,101182,12,32,21799,Non-Repeating
618,40,102565,6,9,9636,Non-Repeating
619,49,49402,10,12,8340,Non-Repeating
620,54,24263,11,11,3952,Returning
621,29,143489,3,46,21627,Non-Repeating
622,66,116523,8,16,14290,Returning
623,30,66828,14,1,2014,Returning
624,40,140824,14,45,27957,Returning
625,42,67924,10,21,13430,Returning
626,52,94182,2,30,21159,Returning
627,58,113065,14,13,5848,Returning
628,47,79052,9,34,25301,Returning
629,34,31664,3,4,4161,Non-Repeating
630,66,55737,5,28,16441,Returning
631,37,121332,10,38,26161,Returning
632,65,109563,8,31,19511,Returning
633,42,49373,2,27,17347,Returning
634,39,137369,6,5,9881,Non-Repeating
635,30,56397,12,25,11403,Returning
636,36,148575,5,3,7945,Returning
637,66,106145,13,33,19670,Non-Repeating
638,53,121371,10,4,13070,Non-Repeating
639,29,58709,9,25,15328,Returning
640,58,136074,12,20,19240,Non-Repeating
641,36,81120,5,34,9513,Returning
642,29,39250,2,26,8531,Returning
643,26,41172,5,5,1628,Returning
644,24,31555,12,35,12249,Non-Repeating
645,45,107410,4,28,8938,Returning
646,31,98617,11,29,11733,Returning
647,48,73276,7,9,8163,Returning
648,69,77492,6,38,15090,Returning
649,36,73002,14,6,4919,Returning
650,64,140103,2,19,21220,Non-Repeating
651,33,144938,12,44,31035,Returning
652,22,109599,11,11,9542,Returning
653,52,92355,11,2,5356,Non-Repeating
654,29,111248,13,47,4912,Returning
655,42,44762,5,44,13529,Returning
656,69,31046,7,44,18992,Returning
657,38,116999,11,9,3907,Returning
658,53,144130,7,21,5831,Returning
659,40,136021,5,24,12923,Returning
660,33,48769,12,34,22449,Returning
661,56,73302,9,22,14365,Returning
662,62,43150,4,3,4398,Non-Repeating
663,59,88247,11,12,5850,Non-Repeating
664,56,24853,3,28,8319,Non-Repeating
665,31,114613,4,30,15666,Non-Repeating
666,48,140900,5,26,16705,Returning
667,22,109399,13,48,17475,Non-Repeating
668,52,41792,6,21,8864,Returning
669,40,79129,3,28,15256,Non-Repeating
670,46,126019,2,26,19426,Returning
671,60,94478,14,33,14264,Returning
672,28,133811,13,21,18106,Non-Repeating
673,35,134130,4,35,29372,Non-Repeating
674,64,87298,5,34,8289,Returning
675,29,51987,4,41,11073,Non-Repeating
676,26,35850,14,47,10611,Returning
677,27,32112,11,18,6333,Returning
678,61,141789,13,11,6930,Returning
679,34,44058,12,23,12853,Returning
680,55,65420,3,48,10669,Non-Repeating
681,24,58890,8,22,10445,Non-Repeating
682,63,86017,10,17,3906,Non-Repeating
683,30,67304,4,5,5730,Returning
684,57,52921,14,44,12645,Non-Repeating
685,59,125921,2,11,16307,Returning
686,26,21524,2,30,14518,Non-Repeating
687,67,120424,1,15,11454,Returning
688,44,35048,13,27,13512,Returning
689,19,55111,4,35,18293,Non-Repeating
690,22,57904,10,33,9816,Returning
691,46,74912,9,20,7427,Returning
692,54,54008,14,16,13958,Returning
693,55,20060,11,34,14665,Returning
694,36,94666,7,2,6114,Returning
695,25,103559,12,35,19531,Returning
696,65,75337,10,40,12229,Returning
697,62,130616,7,28,11001,Returning
698,18,33350,13,47,21868,Non-Repeating
699,39,44354,7,39,22489,Returning
700,69,65186,8,6,7804,Non-Repeating
701,34,48145,1,9,3124,Non-Repeating
702,24,54020,10,20,10409,Returning
703,42,106123,13,1,6748,Non-Repeating
704,62,126667,10,8,14046,Non-Repeating
705,21,95186,8,23,17135,Non-Repeating
706,53,105469,4,3,7511,Returning
707,23,40581,4,4,2167,Returning
708,48,108929,4,25,11413,Returning
709,36,43051,6,47,8821,Returning
710,61,71474,7,38,17329,Returning
711,56,111748,6,15,11917,Returning
712,44,145995,1,21,14232,Non-Repeating
713,27,134618,12,35,6846,Non-Repeating
714,43,89626,8,46,19262,Returning
715,36,26960,13,14,4153,Returning
716,56,55772,10,36,14763,Returning
717,20,41520,11,12,8178,Non-Repeating
718,62,69481,13,17,6949,Non-Repeating
719,30,56408,7,39,10276,Returning
720,67,114006,6,9,9810,Returning
